Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,Material,FabricType,Decoration,Pattern Type,Recommendation
1006032852,Sexy,Low,4.6,M,Summer,o-neck,sleevless,null,chiffon,ruffles,animal,1
1212192089,Casual,Low,0,L,Summer,o-neck,Petal,microfiber,null,ruffles,animal,0
1190380701,vintage,High,0,L,Automn,o-neck,full,polyster,null,null,print,0
966005983,Brief,Average,4.6,L,Spring,o-neck,full,silk,chiffon,embroidary,print,1
876339541,cute,Low,4.5,M,Summer,o-neck,butterfly,chiffonfabric,chiffon,bow,dot,0
1068332458,bohemian,Low,0,M,Summer,v-neck,sleevless,null,null,null,print,0
1220707172,Casual,Average,0,XL,Summer,o-neck,full,cotton,null,null,solid,0
1113094204,Flare,Average,0,free,Spring,v-neck,short,cotton,broadcloth,beading,solid,1
985292672,bohemian,Low,0,free,Summer,v-neck,sleevless,nylon,chiffon,null,null,1
1117293701,party,Average,5,free,Summer,o-neck,full,polyster,broadcloth,lace,solid,0
898481530,Flare,Average,0,free,Spring,v-neck,short,nylon,null,null,animal,0
957723897,sexy,Low,4.7,M,Winter,o-neck,threequarter,null,chiffon,lace,print,1
749031896,vintage,Average,4.8,M,Summer,o-neck,short,cotton,jersey,null,animal,1
1055411544,Casual,Low,5,M,Summer,boat-neck,short,cotton,null,sashes,solid,0
1162628131,Casual,Low,0,free,Winter,boat-neck,full,other,other,lace,null,0
624314841,cute,Average,4.7,L,spring,o-neck,short,cotton,null,sashes,solid,1
830467746,bohemian,Medium,5,free,Automn,o-neck,full,null,null,hollowout,patchwork,1
840857118,Brief,Average,0,M,Winter,peterpan-collor,threequarter,cotton,null,null,patchwork,0
1113221101,Sexy,Average,5,M,Automn,o-neck,sleevless,milksilk,null,null,null,1
861754372,Sexy,Average,4.5,L,Automn,o-neck,full,cotton,null,beading,solid,0
856178100,Casual,Low,4.3,M,Summer,o-neck,sleevless,null,chiffon,null,solid,0
1122989777,Brief,Low,4,XL,Summer,v-neck,short,cotton,null,pockets,solid,0
840516484,Sexy,Average,4.7,S,Summer,v-neck,sleevless,cotton,null,sequined,solid,1
768517084,Sexy,Average,0,free,Automn,v-neck,sleevless,polyster,null,lace,patchwork,0
1139843344,Sexy,Average,0,M,Automn,o-neck,sleevless,cotton,broadcloth,null,print,0
1004212992,Sexy,Average,4.7,M,Spring,o-neck,sleevless,null,null,null,solid,1
1235426503,Casual,Low,0,L,Summer,o-neck,sleevless,cotton,jersey,null,print,0
942808364,cute,Low,4.3,free,Automn,o-neck,sleevless,polyster,chiffon,sashes,striped,0
629131530,cute,Low,4.7,M,Spring,ruffled,short,chiffonfabric,chiffon,bow,dot,1
851945460,Casual,Average,4.6,L,Automn,o-neck,sleevless,polyster,chiffon,ruffles,solid,0
1150275464,Casual,Low,0,M,Spring,o-neck,sleevless,silk,chiffon,applique,solid,1
1026634314,Casual,Average,4.4,L,Automn,o-neck,sleevless,linen,chiffon,ruffles,animal,0
978773911,Brief,Average,4.3,L,Spring,o-neck,sleevless,null,null,bow,solid,1
827791337,party,High,4.7,M,Spring,o-neck,threequarter,null,null,null,print,0
640823350,Casual,Low,4.6,free,Winter,boat-neck,full,cotton,null,null,patchwork,1
801861988,vintage,Average,4.6,free,Winter,o-neck,full,null,chiffon,null,print,1
1060207186,Brief,Average,0,M,Automn,o-neck,short,cotton,null,null,print,0
1054679816,party,Average,4.6,M,Winter,o-neck,sleevless,cotton,null,lace,solid,1
941190190,Casual,Average,4.5,M,Spring,v-neck,short,cotton,null,button,solid,1
943844640,Brief,Average,5,free,Spring,v-neck,sleevless,cotton,broadcloth,lace,solid,1
661795386,Brief,Low,4.4,L,Automn,o-neck,halfsleeve,rayon,chiffon,sashes,solid,0
875312593,Casual,Average,4.8,M,Winter,o-neck,short,lycra,broadcloth,applique,patchwork,0
971387676,Casual,Low,4.8,free,Spring,o-neck,sleevless,cotton,null,null,print,0
1021185637,vintage,Average,4.8,M,Winter,o-neck,sleevless,cotton,null,null,patchwork,1
1163826114,Sexy,Average,0,M,Winter,o-neck,short,null,null,lace,solid,0
735635595,Sexy,Average,4.8,L,Spring,v-neck,threequarter,polyster,null,lace,geometric,0
1175184188,Casual,Average,0,M,Summer,o-neck,halfsleeve,cotton,chiffon,ruffles,dot,1
679415939,Casual,Low,4.7,M,Summer,o-neck,sleevless,milksilk,null,null,solid,0
884147971,Casual,Medium,0,L,Winter,boat-neck,full,null,null,null,solid,1
841203385,Sexy,Low,5,free,Summer,v-neck,sleevless,null,chiffon,null,animal,1
1117997056,Casual,Low,4.3,free,Summer,o-neck,sleevless,milksilk,null,null,animal,0
1160536550,Casual,Average,0,L,Spring,o-neck,halfsleeve,polyster,chiffon,hollowout,solid,1
828623528,Casual,Average,4.6,free,Automn,o-neck,sleevless,polyster,chiffon,sashes,solid,1
763708514,sexy,Average,4.5,M,Spring,o-neck,threequarter,polyster,null,lace,geometric,0
1153442065,Novelty,Average,0,S,Winter,turndowncollor,full,cotton,null,null,patchwork,0
743729613,Casual,Average,4.9,S,Winter,turndowncollor,full,cotton,null,null,solid,1
1000493051,sexy,Low,4.6,L,Automn,o-neck,sleevless,null,null,lace,solid,1
911085061,bohemian,Low,4.5,M,Summer,v-neck,sleevless,polyster,null,null,print,1
1174854264,work,Average,0,M,Automn,slash-neck,sleevless,polyster,null,bow,patchwork,0
1053296757,cute,High,0,M,Spring,v-neck,full,rayon,null,null,solid,1
1033843327,Casual,Average,0,free,Spring,o-neck,short,cotton,null,hollowout,plaid,0
1083779666,Casual,Average,5,M,Summer,o-neck,short,polyster,chiffon,null,animal,0
746255172,Casual,Average,4.7,M,spring,o-neck,sleevless,null,chiffon,sashes,solid,0
1100974555,Sexy,Low,4,S,Automn,o-neck,sleevless,cotton,null,null,solid,1
1019134411,Casual,Average,5,M,Automn,v-neck,short,cotton,broadcloth,beading,solid,0
1072477320,Casual,Low,0,free,Summer,v-neck,halfsleeve,silk,broadcloth,applique,solid,0
638423913,Casual,Medium,4.5,S,Winter,o-neck,full,polyster,null,null,patchwork,1
936425780,work,Average,4.8,L,Summer,v-neck,short,polyster,null,hollowout,solid,0
1146088956,Casual,Medium,0,M,Automn,v-neck,short,polyster,null,null,solid,0
864253055,bohemian,Average,5,free,Summer,v-neck,sleevless,cotton,batik,null,print,1
1210582154,sexy,Low,0,M,Spring,v-neck,short,polyster,satin,ruffles,solid,1
926480831,Sexy,Average,4.2,M,Winter,v-neck,sleevless,cotton,flannael,null,solid,0
757260823,Casual,Low,4.8,free,Spring,o-neck,full,cotton,worsted,lace,solid,0
630561922,Casual,Low,4.4,S,Automn,o-neck,sleevless,polyster,null,null,solid,0
734061929,Casual,Low,4.7,L,Spring,o-neck,short,chiffonfabric,chiffon,bow,dot,0
842060995,Casual,Average,5,XL,Winter,boat-neck,full,cotton,null,null,geometric,1
1078431253,Casual,Low,0,free,Spring,v-neck,sleevless,cotton,null,null,print,0
939770391,Casual,Average,0,free,Spring,o-neck,sleevless,null,chiffon,null,solid,0
943188872,bohemian,very-high,4.7,free,Winter,v-neck,sleevless,polyster,null,null,null,1
1130994272,Casual,Low,5,M,Summer,v-neck,sleevless,polyster,chiffon,ruffles,animal,0
907117649,party,Average,4.7,M,Spring,v-neck,sleevless,polyster,chiffon,hollowout,solid,0
967999477,Sexy,Low,5,free,Spring,o-neck,full,cotton,worsted,null,striped,0
944656411,vintage,Low,4.6,M,Summer,o-neck,short,null,chiffon,null,print,0
1096779299,Casual,Average,0,free,Winter,o-neck,halfsleeve,polyster,chiffon,hollowout,solid,0
1036333255,Casual,Low,4.9,L,Summer,boat-neck,short,null,chiffon,null,patchwork,1
1065316076,Casual,Low,0,S,Automn,o-neck,full,null,null,beading,solid,1
995802744,Sexy,Average,4,S,Automn,v-neck,sleevless,rayon,chiffon,null,patchwork,1
1018110870,Sexy,Low,5,M,Automn,o-neck,full,null,chiffon,lace,print,1
850586379,Brief,Average,4.6,M,Winter,peterpan-collor,threequarter,cotton,null,null,solid,0
1169895668,Casual,Average,0,L,Spring,boat-neck,sleevless,cotton,null,applique,patchwork,1
688966772,Casual,Average,4.8,L,Winter,o-neck,short,cotton,null,pockets,solid,1
1194626925,OL,Medium,0,M,Winter,mandarin-collor,halfsleeve,cotton,null,sashes,solid,0
876708804,Sexy,Low,4.8,M,Spring,o-neck,halfsleeve,silk,null,null,solid,0
1118628066,Casual,Medium,0,S,Spring,v-neck,full,null,null,null,animal,1
1027818824,Casual,Medium,0,M,Spring,v-neck,threequarter,silk,chiffon,ruffles,solid,1
891103323,Casual,Average,0,M,Spring,o-neck,sleevless,silk,null,null,print,0
1166855026,Casual,Average,0,free,Winter,v-neck,full,null,chiffon,ruffles,print,0
1023850025,vintage,Low,4.8,S,Summer,o-neck,short,null,chiffon,ruffles,print,0
805438829,Sexy,Low,4.8,L,Summer,v-neck,full,cotton,jersey,applique,print,1
836788720,fashion,Average,4,free,Summer,open,full,cotton,null,sequined,solid,0
835787654,Casual,Average,4.7,L,Summer,v-neck,short,null,null,null,print,1
1148457078,Casual,Low,0,free,Winter,o-neck,halfsleeve,polyster,worsted,null,patchwork,1
887476609,bohemian,Low,4.8,free,Summer,o-neck,short,null,null,null,animal,1
535968075,work,Medium,4.6,L,Winter,sqare-collor,short,cotton,null,Tiered,solid,0
892801580,vintage,Average,4.7,L,Summer,o-neck,short,cotton,null,button,solid,0
732650169,cute,Low,4.7,M,Spring,o-neck,short,polyster,chiffon,ruffles,dot,1
680070369,Casual,Low,4.6,free,Automn,o-neck,full,cotton,null,null,solid,1
1002440915,Casual,Medium,0,free,Spring,o-neck,sleevless,cotton,broadcloth,sequined,solid,1
737538048,Casual,Average,4.7,L,Automn,o-neck,halfsleeve,null,null,lace,null,0
1104450248,Sexy,Average,0,L,Automn,v-neck,sleevless,null,chiffon,null,patchwork,0
797673346,Casual,Low,4.7,free,Winter,o-neck,sleevless,cotton,jersey,null,solid,1
1039982741,Casual,Average,0,M,Automn,o-neck,short,polyster,null,applique,print,0
829087315,cute,Average,4.8,L,Automn,slash-neck,sleevless,null,chiffon,hollowout,solid,0
1032990258,party,Average,5,M,Spring,o-neck,halfsleeve,null,null,null,null,1
939422280,cute,Average,4.3,L,Winter,o-neck,sleevless,null,chiffon,null,solid,0
974746803,Casual,Average,4.5,L,Spring,o-neck,short,cotton,chiffon,null,patchwork,0
1018130478,Casual,Low,4.7,L,Automn,o-neck,full,cotton,chiffon,lace,print,0
956758119,Casual,Low,4.5,free,Automn,v-neck,short,silk,worsted,lace,solid,0
903426442,sexy,Average,3.6,L,Winter,v-neck,full,polyster,woolen,beading,solid,1
861626197,work,Average,4.8,L,Winter,v-neck,short,mix,broadcloth,lace,solid,0
1077015977,vintage,Average,0,free,Summer,o-neck,sleevless,null,null,null,null,0
817870237,Sexy,Low,4.6,free,Spring,o-neck,full,null,null,lace,leopard,1
1078996836,Sexy,Low,0,free,Winter,v-neck,sleevless,cotton,chiffon,null,solid,1
881530990,work,Average,4.6,L,Spring,o-neck,short,cotton,jersey,null,patchwork,0
937046375,Casual,Average,4.4,M,Summer,o-neck,short,null,null,lace,patchwork,0
893330898,Sexy,Low,4.6,free,Summer,v-neck,sleevless,cotton,broadcloth,beading,solid,0
822053936,party,Average,4.4,free,Automn,v-neck,threequarter,null,null,null,solid,0
1059959935,Casual,Average,0,free,Spring,o-neck,short,cotton,null,lace,null,1
1197204708,Casual,Low,0,M,Summer,v-neck,full,acrylic,null,lace,solid,0
713439584,Sexy,Average,4.6,M,Winter,o-neck,full,polyster,null,null,patchwork,1
732736124,work,Average,4.6,M,Spring,v-neck,full,null,chiffon,null,null,0
709353440,cute,Average,4.7,L,Winter,o-neck,sleevless,chiffonfabric,null,lace,solid,0
1031230798,bohemian,Average,4.7,L,Automn,o-neck,sleevless,null,chiffon,null,solid,0
1225512606,cute,High,0,M,Winter,o-neck,threequarter,silk,chiffon,lace,patchwork,0
1158347154,Casual,Average,0,XL,Winter,o-neck,short,polyster,null,button,solid,0
976975672,Novelty,Average,4.9,L,Automn,o-neck,short,polyster,chiffon,null,print,1
520233308,Casual,Low,4.7,M,Automn,o-neck,full,cotton,null,null,solid,0
935827969,cute,Average,4.3,free,Summer,boat-neck,sleevless,null,null,null,null,1
1130624045,Sexy,Low,0,free,Automn,slash-neck,short,null,null,hollowout,solid,0
547555172,cute,Low,4.7,XL,Summer,o-neck,short,chiffonfabric,chiffon,bow,print,0
1083323104,Sexy,Low,4.5,L,Spring,o-neck,sleevless,null,null,lace,solid,0
955188745,Casual,Average,4.7,M,Automn,o-neck,sleevless,cotton,null,null,animal,1
1140306858,Casual,Average,0,L,Spring,boat-neck,sleevless,cotton,null,lace,solid,1
895807023,cute,Low,4.7,free,Summer,o-neck,sleevless,null,chiffon,null,print,1
818505402,Casual,Low,4.4,free,Summer,turndowncollor,sleevless,cotton,null,null,solid,0
897981100,Casual,Average,4.8,L,winter,v-neck,short,polyster,null,ruffles,solid,0
973481686,vintage,Average,4.3,free,winter,o-neck,short,chiffonfabric,chiffon,null,print,0
1021375534,cute,Low,4.5,L,Summer,o-neck,sleevless,cotton,chiffon,sashes,solid,1
549437715,Casual,Average,4.4,M,Summer,turndowncollor,sleevless,chiffonfabric,chiffon,null,solid,0
1097548715,vintage,Medium,0,S,Winter,turndowncollor,halfsleeve,cotton,broadcloth,null,plaid,0
578702321,Sexy,Low,4.7,free,Summer,turndowncollor,sleevless,cotton,null,null,solid,1
1155548915,vintage,High,0,L,Summer,o-neck,short,cotton,null,null,print,0
1199064757,Casual,Low,0,free,Spring,v-neck,threequarter,silk,null,lace,null,1
1078994436,Sexy,Average,0,S,Automn,slash-neck,short,null,null,lace,solid,0
949226757,Casual,Low,0,free,Spring,o-neck,short,null,null,hollowout,solid,0
832191944,cute,Medium,5,free,Winter,o-neck,sleevless,silk,null,lace,solid,1
